,block_id,previous_solution,timeout,initial_n_instrs,initial_estimated_size,initial_estimated_gas,rules,initial_length,saved_length,model_found,shown_optimal,solver_time_in_sec,saved_size,saved_gas,outcome
0,isolated_block_0_0,PUSH0 SWAP2 DUP3 MSTORE PUSH 5 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP5 KECCAK256 PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP4 SWAP1 SWAP4 AND DUP5 MSTORE SWAP2 SWAP1 MSTORE SWAP1 KECCAK256 SLOAD PUSH ff AND SWAP1,2,29,40,2249,"EVAL ('160', '1', 'shl'),EVAL ('1461501637330902918203684832716283019655932542976', '1', '-')",33,0,False,False,2.03,0,0,no_model
1,isolated_block_0_0,PUSH0 SWAP2 DUP3 MSTORE PUSH 5 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP5 KECCAK256 PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP4 SWAP1 SWAP4 AND DUP5 MSTORE SWAP2 SWAP1 MSTORE SWAP1 KECCAK256 SLOAD PUSH ff AND SWAP1,2,29,40,2249,"EVAL ('160', '1', 'shl'),EVAL ('1461501637330902918203684832716283019655932542976', '1', '-')",33,0,False,False,2.03,0,0,no_model
